1.0.8
Modality;0;0;;;;;undefined
;1;1;;;;;X-Ray
;2;2;;;;;CT
;3;3;;;;;MRI
;4;4;;;;;ultrasound
;5;5;;;;;nuclear medicine
;6;6;;;;;PET
;7;7;;;;;endoscopy
;7-1;7;1;;;;capsule endoscopy
;7-2;7;2;;;;confocal laser endomicroscopy
;8;8;;;;;microscopic examination
;9;9;;;;;optical coherence tomography
;10;10;;;;;photographical documentation
;11;11;;;;;Video documentation
Laterality;0;0;;;;;undefined
;1;1;;;;;right
;2;2;;;;;left
;3;3;;;;;biliteral
;4;4;;;;;unpaired organ
;5;5;;;;;atypical situation (e.g. transplant )
Procedures;0;0;;;;;undefined
;0-1;0;1;;;;conventional tomography
;0-1-1;0;1;1;;;tomosynthesis
;0-2;0;2;;;;Dual-energy X-ray absorptiometry (Dual Energy)
;1;1;;;;;imaging of preformed ductal structures
;1-1;1;1;;;;enteroklysis
;1-2;1;2;;;;imaging of vessels
;1-2-1;1;2;1;;;imaging of arteries
;1-2-1-1;1;2;1;1;;without contrast (color coded Doppler, phase contrast MRI etc)
;1-2-1-2;1;2;1;2;;with contrast material (i.v. MR angio, iv. DSA etc.)
;1-2-1-3;1;2;1;3;;catheter (invasiv, selective etc.)
;1-2-2;1;2;2;;;imaging of veins
;1-2-2-1;1;2;2;1;;without contrast (color coded Doppler, phase contrast MRI etc.) 
;1-2-2-2;1;2;2;2;;with contrast material (phlebography etc.)
;1-2-2-3;1;2;2;3;;Catheter (invasiv, selective etc.)
;1-2-3;1;2;3;;;imaging of lymphatic vessels
;1-2-3-1;1;2;3;1;;without contrast
;1-2-3-2;1;2;3;2;;with contrast material
;1-2-3-3;1;2;3;3;;catheter
;1-3;1;3;;;;fistulography
;1-4;1;4;;;;myelography
;1-5;1;5;;;;arthrography
;1-6;1;6;;;;retrograde contrast application (e.g. pyelography, urethrography, vesicography, ureterography)
;1-7;1;7;;;;endocavitary application
;2;2;;;;;quantitative analysis / secondary reconstructions from imaging data
;2-1;2;1;;;;osteodensitometry
;2-2;2;2;;;;dental CT
;2-3;2;3;;;;recalculations from datasets
;2-3-1;2;3;1;;;volumetry
;2-3-2;2;3;2;;;color coding, flow measurements, intensity profiles, perfusion time-density profiles
;2-3-3;2;3;3;;;MPR
;2-3-4;2;3;4;;;3D / 4D
;2-3-5;2;3;5;;;HR
;2-3-6;2;3;6;;;recalculated images of vessels and ducts
;2-3-7;2;3;7;;;virtual endoscopy
;2-3-8;2;3;8;;;measurements of angles and axes
;2-4;2;4;;;;spectroscopy
;2-5;2;5;;;;videographic assessment of movement studies
;2-6;2;6;;;;image fusion
;2-7;2;7;;;;navigation
;2-8;2;8;;;;US contrast material
;3;3;;;;;documentation of interventions via artificial access
;3-1;3;1;;;;needle biopsy / puncture
;3-2;3;2;;;;vacuum assisted needle biopsy
;3-3;3;3;;;;(long term-) catheter / placement / stomach
;3-3-1;3;3;1;;;permcath
;3-3-2;3;3;2;;;portacath
;3-3-3;3;3;3;;;catheter - drainage
;3-3-4;3;3;4;;;TIPPS
;3-3-5;3;3;5;;;percutaneous gastrostomy
;3-3-6;3;3;6;;;nephrostomy
;3-3-7;3;3;7;;;pacemaker
;3-3-8;3;3;8;;;endovascular ultrasound
;3-4;3;4;;;;bougienage
;3-5;3;5;;;;dilatation / recanalisation / removement of calculi / foreign bodies
;3-5-1;3;5;1;;;thrombo-fibrinolysis
;3-5-2;3;5;2;;;embolectomy / thrombectomy / recanalisation
;3-5-3;3;5;3;;;balloon dilatation
;3-5-4;3;5;4;;;stent
;3-5-5;3;5;5;;;stentgraft
;3-5-6;3;5;6;;;filter (vena cava filter)
;3-5-7;3;5;7;;;removement of calculi or foreign bodies
;3-6;3;6;;;;embolisation
;3-6-1;3;6;1;;;organ
;3-6-2;3;6;2;;;aneurysm
;3-6-3;3;6;3;;;arterio-venos malformation
;3-7;3;7;;;;local application of drugs / energy / local sampling
;3-7-1;3;7;1;;;nucleolysis
;3-7-2;3;7;2;;;blockade of ganglia (ganglia block)
;3-7-3;3;7;3;;;facet joints (facet joint intervention(infiltration))
;3-7-4;3;7;4;;;radiofrequency ablation / thermoablation
;3-7-5;3;7;5;;;cryoablation
;3-7-6;3;7;6;;;laserablation
;3-7-7;3;7;7;;;alcoholablation
;3-7-8;3;7;8;;;venous sampling
;3-7-9;3;7;9;;;infiltration/sclerotherapy
;3-7-10;3;7;10;;;sampling
;3-7-11;3;7;11;;;preparation
;3-8;3;8;;;;vertebroplasty, kyphoplasty
;3-9;3;9;;;;markers
;3-9-1;3;9;1;;;wire
;3-9-2;3;9;2;;;colored particles (dye)
;3-9-3;3;9;3;;;radioactive substances (radiopharmaceutical particles)
;3-9-4;3;9;4;;;clip marking
;4;4;;;;;nuclear medicine / imaging witch radioactive tracers
;4-1;4;1;;;;perfusion
;4-2;4;2;;;;metabolism / organ function
;4-3;4;3;;;;bone scan
;4-3-1;4;3;1;;;multiple phase
;4-3-2;4;3;2;;;static
;4-4;4;4;;;;receptor scintigraphy
;4-5;4;5;;;;renal scintigraphy
;4-5-1;4;5;1;;;dynamic (ING, CNG, DNG)
;4-5-2;4;5;2;;;static (DMSA)
;4-5-3;4;5;3;;;indirect radionuclide cystography
;4-6;4;6;;;;ventilation
;4-7;4;7;;;;GI transit
;4-8;4;8;;;;bone marrow scintigraphy
;4-9;4;9;;;;lymph scintigraphy
;4-10;4;10;;;;CSF radionuclide scintigraphy
;4-11;4;11;;;;gallium scan
;4-12;4;12;;;;Meckel's diverticulum scintigraphy
;4-13;4;13;;;;labelled blood cells (GI tract bleeding scintigraphy, leukocyt scintigraphy, Platelet scintigraphy)
;4-14;4;14;;;;direct radionuclide cystography
;4-15;4;15;;;;iodine whole body scan
;4-16;4;16;;;;myocardial scintigraphy
;4-16-1;4;16;1;;;myocardial perfusion scintigraphy
;4-16-2;4;16;2;;;radionuclide ventriculography
;4-16-3;4;16;3;;;gated myocardial SPECT
Anatomy;0;0;;;;;imaging without regional anatomic definition
;0-1;0;1;;;;whole body
;0-2;0;2;;;;trunk
;0-3;0;3;;;;partial body
;0-4;0;4;;;;fetus
;1;1;;;;;head
